crop_id	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	crop_code	comment
1	0.15	0.20	0.40	0.58	0.69	0.79	0.90	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	ALFP	ARS, Kimberly, 1969-75
2	0.15	0.20	0.40	0.58	0.69	0.79	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	ALFM	ARS, Kimberly, 1969-75
3	0.15	0.20	0.47	0.58	0.69	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	PAST/LAWN	- used prior to 1993
4	0.22	0.40	0.56	0.70	0.83	0.94	0.98	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.96	0.76	0.60	0.43	0.28	WGRN	ARS, Kimberly, 1977-78
5	0.30	0.30	0.35	0.40	0.50	0.60	0.70	0.80	0.86	0.90	0.93	0.93	0.93	0.93	0.91	0.87	0.82	0.80	0.75	0.65	0.50	POTA	ARS, Kimberly, 1972
6	0.20	0.22	0.26	0.31	0.42	0.55	0.68	0.80	0.90	0.95	0.95	0.95	0.95	0.95	0.95	0.90	0.82	0.72	0.60	0.46	0.30	BEAN	ARS, Kimberly, 1973-74
7	0.30	0.30	0.32	0.35	0.40	0.51	0.60	0.70	0.80	0.90	1.00	1.00	1.00	1.00	0.98	0.95	0.92	0.89	0.86	0.83	0.80	CORN	ARS, Kimberly, 1976-77
8	0.20	0.20	0.23	0.31	0.42	0.53	0.66	0.77	0.84	0.89	0.95	0.95	0.96	0.98	1.00	1.00	1.00	1.00	0.78	0.60	0.39	APPLE	Modified per Soiltest input - 3/94
9	0.20	0.20	0.23	0.31	0.42	0.53	0.66	0.77	0.84	0.89	0.95	0.98	1.00	1.01	1.02	1.03	1.04	1.05	1.05	1.05	1.05	PEAR	(Pre-1994)
10	0.40	0.43	0.47	0.50	0.53	0.57	0.60	0.70	0.80	0.90	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	ASPA	Pro-Ag, Pasco, 1994
11	0.16	0.18	0.22	0.31	0.42	0.56	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	WGRP/MELN	Pro-Ag, Pasco, 1988
12	0.16	0.17	0.20	0.28	0.35	0.44	0.53	0.61	0.68	0.75	0.83	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	CGRP	Pro-Ag, Pasco, 1988
13	0.16	0.17	0.22	0.31	0.42	0.54	0.66	0.76	0.84	0.89	0.92	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	PPMT	Canyon Count Ext, 1975
14	0.20	0.22	0.25	0.30	0.38	0.48	0.58	0.68	0.78	0.85	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	BEET	(Old Curve, not used)
15	0.20	0.22	0.26	0.29	0.37	0.47	0.59	0.77	0.91	1.00	1.00	1.00	0.94	0.84	0.71	0.60	0.49	0.39	0.30	0.22	0.17	PEAS	ARS, Kimberly, 1977
16	0.16	0.17	0.24	0.35	0.49	0.64	0.79	0.92	1.03	1.09	1.09	0.98	0.85	0.73	0.63	0.53	0.43	0.33	0.23	0.13	0.03	ONYN/GARL	(Old Curve, not used)
17	0.15	0.20	0.47	0.58	0.69	0.79	0.85	0.90	0.90	0.90	0.90	0.90	0.85	0.80	0.70	0.60	0.50	0.40	0.30	0.20	0.10	BLGR	(Old Curve, not used)
